0.995	130	50	3.14855663763e-09	3.13075003699e-08	2.9250322019e-09	2.7768251631e-11
0.995	150	50	1.77733672224e-09	1.7496945337e-08	1.68271649032e-09	2.20373410054e-11
0.995	170	50	1.07787612169e-09	1.00269186287e-08	1.04147944258e-09	1.79010538583e-11
0.995	190	50	6.91175339185e-10	5.58961998909e-09	6.82510940796e-10	1.48270227406e-11
0.995	210	50	4.63423410757e-10	2.75900213786e-09	4.68273419159e-10	1.24822838832e-11
0.995	230	50	3.22293525201e-10	8.65248761528e-10	3.33612417648e-10	1.06543982122e-11
0.995	250	50	2.31081709323e-10	-4.95834484582e-10	2.45265086741e-10	9.20250029878e-12
0.995	270	50	1.7001755559e-10	-1.47042156229e-09	1.85176973949e-10	8.02930912236e-12
0.995	290	50	1.27907129333e-10	-2.25595542247e-09	1.43034131589e-10	7.06774147446e-12
0.995	310	50	9.80973080544e-11	-2.79356537902e-09	1.12683293144e-10	6.27029068036e-12
0.995	330	50	7.65222329946e-11	-3.32003469161e-09	9.03139841739e-11	5.60109674071e-12
0.995	350	50	6.05947514387e-11	-3.67063379692e-09	7.34888798796e-11	5.03358732207e-12
0.995	370	50	4.86405360434e-11	-4.03096445112e-09	6.06039636291e-11	4.54873005518e-12
0.995	390	50	3.9514169714e-11	-4.33064162308e-09	5.05768084396e-11	4.13085858608e-12
0.995	410	50	3.24453797163e-11	-4.55039672609e-09	4.26603864052e-11	3.7680173382e-12
0.995	430	50	2.69265720831e-11	-4.71827066306e-09	3.6328680581e-11	3.45126600045e-12
0.995	450	50	2.25415242028e-11	-4.95733232242e-09	3.12045040741e-11	3.17288061149e-12
0.995	470	50	1.9028445486e-11	-5.05458830347e-09	2.70129685413e-11	2.92666929983e-12
0.995	490	50	1.61899382789e-11	-5.29353205714e-09	2.35506081723e-11	2.70816647264e-12
0.995	510	50	1.38863365251e-11	-5.33616484333e-09	2.06648598953e-11	2.51321900615e-12
0.995	530	50	1.19869669746e-11	-5.64861113439e-09	1.82397933129e-11	2.33856507257e-12
0.995	550	50	1.04173336624e-11	-5.5501427898e-09	1.61863708238e-11	2.18164559567e-12
0.995	570	50	9.10849173863e-12	-5.70400904287e-09	1.44353869871e-11	2.03984168751e-12
0.995	590	50	8.00137733847e-12	-5.80226378055e-09	1.29325435541e-11	1.91129807635e-12
0.995	610	50	7.07145453305e-12	-5.80288395113e-09	1.16348783867e-11	1.79469150977e-12
0.995	630	50	6.28852525608e-12	-5.85340709236e-09	1.05080760259e-11	1.68817546858e-12
0.995	650	50	5.61151125567e-12	-5.94046745128e-09	9.52449078331e-12	1.59098113025e-12
0.995	670	50	5.02586861018e-12	-5.84266612869e-09	8.66172083239e-12	1.50200234163e-12
0.995	690	50	4.55591120385e-12	-6.30371821408e-09	7.90144898056e-12	1.41996268482e-12
0.995	710	50	4.10960154795e-12	-5.72515546082e-09	7.22862317806e-12	1.34456760595e-12
0.995	730	50	3.73856501312e-12	-6.08504557853e-09	6.63076563148e-12	1.27520720791e-12
0.995	750	50	3.41637829138e-12	-6.36432218037e-09	6.097525219e-12	1.21075292738e-12
0.995	770	50	3.12250225676e-12	-6.39828146021e-09	5.62022594401e-12	1.15118421996e-12
0.995	790	50	2.87792012443e-12	-6.32517638266e-09	5.19153831199e-12	1.0957823961e-12
0.995	810	50	2.67164068646e-12	-6.4144336509e-09	4.80530775737e-12	1.04436005323e-12
0.995	830	50	2.45903297724e-12	-6.25521967557e-09	4.45627546262e-12	9.96458816034e-13
0.995	850	50	2.2947199696e-12	-6.89711732171e-09	4.13995739724e-12	9.51591192522e-13
0.995	870	50	2.12774242669e-12	-6.76641587205e-09	3.85253723551e-12	9.09821529687e-13
0.995	920	50	1.82542869709e-12	-6.85950007906e-09	3.2397429717e-12	8.16477471007e-13
0.995	970	50	1.61148872024e-12	-6.53477094659e-09	2.74738089307e-12	7.36631251108e-13
0.995	1020	50	1.41908707008e-12	-7.00106483897e-09	2.34664134033e-12	6.67892611091e-13
0.995	1070	50	1.27498012148e-12	-6.39936303948e-09	2.01672687315e-12	6.08360874807e-13
0.995	1120	50	1.13786757794e-12	-6.70873845365e-09	1.74232096057e-12	5.56318848859e-13
0.995	1170	50	1.07458486553e-12	-6.96101443154e-09	1.51200398846e-12	5.10555617335e-13
0.995	1220	50	9.94759830064e-13	-5.95706484141e-09	1.31708087257e-12	4.70280000725e-13
0.995	1270	50	9.46576150795e-13	-7.17828663177e-09	1.15088115844e-12	4.3436420946e-13
0.995	1320	50	8.99391672249e-13	-7.00879443372e-09	1.00822725644e-12	4.02576526141e-13
0.995	1370	50	8.67972360652e-13	-8.47887959843e-09	8.85009862059e-13	3.74129931986e-13
0.995	1420	50	8.24895707296e-13	-6.18908457817e-09	7.78001719693e-13	3.48403484641e-13
0.995	1470	50	8.11017919489e-13	-7.37363214931e-09	6.84581182641e-13	3.25411328464e-13
0.995	1520	50	8.11573031001e-13	-7.30879290423e-09	6.02636789586e-13	3.04526657371e-13
0.995	1570	50	7.82374165453e-13	-6.87712420344e-09	5.30461534821e-13	2.85595457693e-13
0.995	1700	50	7.50843831554e-13	-7.14867320895e-09	3.78970804325e-13	2.43974310998e-13
0.995	1800	50	7.66608998504e-13	-6.67277189059e-09	2.89580479225e-13	2.17916618094e-13
0.995	1900	50	7.30859817111e-13	-9.26533960666e-09	2.17571383244e-13	1.95840815639e-13
0.995	2100	50	7.73270336651e-13	-1.06577564551e-08	1.10832537444e-13	1.60760224224e-13
