0.90	20	50	1.619437	-5.792723295240387e-04	-5.783157264109828e-04	-6.890709072530088e-04	0.000000000000000e+00	0.000000000000000e+00	-6.483158572201386e-05
0.90	21	50	1.619437	2.265546963720055e-04	2.272900713160553e-04	3.183640142120359e-04	0.000000000000000e+00	0.000000000000000e+00	-2.741612953570671e-04
0.90	22	50	1.619437	-8.757221187405406e-05	-8.699287171809456e-05	-9.204395155204548e-05	0.000000000000000e+00	0.000000000000000e+00	-2.842046428896960e-05
0.90	23	50	1.619437	-1.196173441969650e-04	-1.191579901989037e-04	-1.297529774290096e-04	0.000000000000000e+00	0.000000000000000e+00	-8.796190014404015e-05
0.90	24	50	1.619437	4.271477410100477e-05	4.308233760097480e-05	6.946610236002737e-05	0.000000000000000e+00	0.000000000000000e+00	-9.591944441100786e-05
0.90	25	50	1.619437	-5.227563539800251e-05	-5.197789260102947e-05	-5.420004842104920e-05	0.000000000000000e+00	0.000000000000000e+00	-3.718090234894333e-05
0.90	26	50	1.619437	-3.009762563299656e-05	-2.985478520001195e-05	-2.700002571298654e-05	0.000000000000000e+00	0.000000000000000e+00	-5.366178337096184e-05
0.90	27	50	1.619437	-3.283223029004745e-06	-3.083530992986638e-06	4.427505674087229e-06	0.000000000000000e+00	0.000000000000000e+00	-4.327144846805187e-05
0.90	28	50	1.619437	-2.282568039402300e-05	-2.266017629903860e-05	-2.160661528805008e-05	0.000000000000000e+00	0.000000000000000e+00	-2.963362878294351e-05
0.90	29	50	1.619437	-1.201711857801158e-05	-1.187907492894436e-05	-8.916110238010866e-06	0.000000000000000e+00	0.000000000000000e+00	-3.060973307700277e-05
0.90	30	50	1.619437	-8.589846569928561e-06	-8.473954833054798e-06	-5.696849628034073e-06	0.000000000000000e+00	0.000000000000000e+00	-2.428790358610655e-05
0.90	31	50	1.619437	-1.092637053501377e-05	-1.082849484390636e-05	-9.364040465920098e-06	0.000000000000000e+00	0.000000000000000e+00	-2.013114453991438e-05
0.90	32	50	1.619437	-7.189097296023128e-06	-7.105986687072630e-06	-5.266308461093772e-06	0.000000000000000e+00	0.000000000000000e+00	-1.833983944299344e-05
0.90	33	50	1.619437	-6.493227648007860e-06	-6.422284437923587e-06	-4.950291020988651e-06	0.000000000000000e+00	0.000000000000000e+00	-1.524523133100697e-05
0.90	34	50	1.619437	-6.095617306023371e-06	-6.034765742013448e-06	-4.877916208956279e-06	0.000000000000000e+00	0.000000000000000e+00	-1.324835862204221e-05
0.90	35	50	1.619437	-4.815893021925532e-06	-4.763459236056811e-06	-3.638243382009243e-06	0.000000000000000e+00	0.000000000000000e+00	-1.166528339402451e-05
0.90	36	50	1.619437	-4.358236159074380e-06	-4.312860158006693e-06	-3.380560491983431e-06	0.000000000000000e+00	0.000000000000000e+00	-1.004736115894911e-05
0.90	37	50	1.619437	-3.833983989953715e-06	-3.794556083014378e-06	-2.983522229049740e-06	0.000000000000000e+00	0.000000000000000e+00	-8.837106534986816e-06
0.90	38	50	1.619437	-3.281350133055305e-06	-3.246958811931044e-06	-2.515720317952663e-06	0.000000000000000e+00	0.000000000000000e+00	-7.773311320069531e-06
