0.80	20	50	1.835000	-7.175476820053817e-06	-9.120819279839765e-06	4.137608100140966e-06	4.137608100140966e-06	-5.418935099976707e-06	-3.890407782003447e-05
0.80	21	50	1.835000	-1.937361427994944e-05	-2.083012331999257e-05	-1.741793848020201e-05	-1.741793848020201e-05	-2.477209794982116e-05	-2.786651637098903e-05
0.80	22	50	1.835000	-8.716080710069463e-06	-9.896164280043251e-06	-3.737456909957970e-06	-3.737456909957970e-06	-9.580469500169997e-06	-2.366635933598316e-05
0.80	23	50	1.835000	-1.025760822992439e-05	-1.119132222004993e-05	-7.942920769998807e-06	-7.942920769998807e-06	-1.260533384983553e-05	-1.827710811902472e-05
0.80	24	50	1.835000	-6.799075100039076e-06	-7.557484680065230e-06	-4.152049109862332e-06	-4.152049109862332e-06	-7.906946550173544e-06	-1.521047505398387e-05
0.80	25	50	1.835000	-6.260867899898770e-06	-6.877316259812360e-06	-4.457653680178808e-06	-4.457653680178808e-06	-7.512153729960502e-06	-1.226241488400115e-05
0.80	26	50	1.835000	-4.838311710164689e-06	-5.345343970120098e-06	-3.190798949948004e-06	-3.190798949948004e-06	-5.691116669925833e-06	-1.019577608701860e-05
0.80	27	50	1.835000	-4.170010859949613e-06	-4.589432089918688e-06	-2.884649209944357e-06	-2.884649209944357e-06	-4.948785690128688e-06	-8.422505914984502e-06
0.80	28	50	1.835000	-3.417969129948517e-06	-3.767604290105808e-06	-2.311455179926369e-06	-2.311455179926369e-06	-4.025655879980050e-06	-7.058554720995591e-06
0.80	29	50	1.835000	-2.907236549942738e-06	-3.200474290032673e-06	-1.995045390001948e-06	-1.995045390001948e-06	-3.428364999891187e-06	-5.925938011019927e-06
0.80	30	50	1.835000	-2.447137530170451e-06	-2.694593869811968e-06	-1.670475500148427e-06	-1.670475500148427e-06	-2.875644520061726e-06	-5.015876684000276e-06
